msg_bytes,avg_ms,algbw_GBs,busbw_GBs
1048576,0.31,3.33,6.25
2097152,0.15,13.62,25.54
4194304,0.22,18.79,35.24
8388608,0.30,28.25,52.96
16777216,0.47,35.88,67.28
33554432,0.85,39.56,74.17
67108864,1.61,41.64,78.07
134217728,5.51,24.38,45.71
268435456,10.68,25.13,47.11
536870912,21.62,24.83,46.56
1073741824,42.20,25.44,47.71
2147483648,84.30,25.47,47.77
4294967296,172.40,24.91,46.71
8589934592,343.41,25.01,46.90
