msg_bytes,avg_ms,algbw_GBs,busbw_GBs
1048576,0.03,31.94,55.89
2097152,0.05,44.99,78.72
4194304,0.05,77.48,135.58
8388608,0.08,107.78,188.62
16777216,0.12,139.66,244.40
33554432,0.22,153.19,268.09
67108864,0.33,205.42,359.49
134217728,0.59,226.58,396.51
268435456,1.17,230.03,402.56
536870912,2.16,248.14,434.24
1073741824,4.07,263.59,461.28
2147483648,8.02,267.83,468.70
4294967296,15.87,270.70,473.73
8589934592,31.50,272.66,477.16
