msg_bytes,avg_ms,algbw_GBs,busbw_GBs
1048576,0.22,4.72,8.85
2097152,0.15,13.97,26.19
4194304,0.20,21.00,39.38
8388608,0.25,33.03,61.94
16777216,0.31,54.40,101.99
33554432,0.42,79.44,148.95
67108864,0.53,126.37,236.95
134217728,0.93,143.78,269.58
268435456,1.52,176.60,331.12
536870912,2.75,195.07,365.75
1073741824,5.02,213.89,401.05
2147483648,9.77,219.69,411.93
4294967296,18.73,229.36,430.05
8589934592,37.14,231.26,433.62
