msg_bytes,avg_ms,algbw_GBs,busbw_GBs
1048576,0.03,31.65,55.38
2097152,0.04,51.19,89.58
4194304,0.05,78.00,136.50
8388608,0.08,108.08,189.14
16777216,0.12,140.30,245.52
33554432,0.20,167.97,293.95
67108864,0.33,205.77,360.10
134217728,0.59,226.38,396.16
268435456,1.12,239.88,419.80
536870912,2.16,248.41,434.72
1073741824,4.07,263.87,461.77
2147483648,8.02,267.86,468.75
4294967296,15.86,270.72,473.76
8589934592,31.48,272.88,477.54
