msg_bytes,avg_ms,algbw_GBs,busbw_GBs
1048576,0.21,5.10,9.57
2097152,0.14,15.37,28.82
4194304,0.16,26.89,50.41
8388608,0.21,40.70,76.31
16777216,0.30,55.81,104.64
33554432,0.52,64.22,120.40
67108864,0.95,70.76,132.68
134217728,1.88,71.45,133.97
268435456,3.42,78.55,147.29
536870912,6.63,80.96,151.81
1073741824,12.82,83.73,157.00
2147483648,25.83,83.14,155.90
4294967296,50.51,85.04,159.44
8589934592,101.96,84.25,157.96
