msg_bytes,avg_ms,algbw_GBs,busbw_GBs
1048576,0.05,22.88,40.04
2097152,0.04,51.06,89.36
4194304,0.05,77.57,135.74
8388608,0.08,107.72,188.51
16777216,0.12,137.43,240.50
33554432,0.20,167.90,293.83
67108864,0.33,205.67,359.92
134217728,0.59,226.54,396.44
268435456,1.12,238.63,417.60
536870912,2.16,247.99,433.98
1073741824,4.07,263.54,461.19
2147483648,8.02,267.86,468.75
4294967296,15.85,270.91,474.10
8589934592,31.46,273.04,477.82
