msg_bytes,avg_ms,algbw_GBs,busbw_GBs
1048576,0.23,4.63,8.68
2097152,0.15,13.67,25.62
4194304,0.21,19.88,37.27
8388608,0.29,28.82,54.04
16777216,0.48,35.31,66.21
33554432,0.84,39.83,74.69
67108864,1.61,41.60,78.00
134217728,3.08,43.63,81.80
268435456,5.96,45.03,84.43
536870912,11.74,45.72,85.73
1073741824,23.24,46.21,86.64
2147483648,46.20,46.48,87.16
4294967296,92.14,46.62,87.40
8589934592,183.94,46.70,87.56
