msg_bytes,avg_ms,algbw_GBs,busbw_GBs
1048576,0.21,4.90,9.19
2097152,0.15,13.80,25.88
4194304,0.21,20.09,37.66
8388608,0.25,32.96,61.81
16777216,0.31,53.97,101.20
33554432,0.48,70.44,132.07
67108864,0.53,125.89,236.05
134217728,0.89,150.47,282.13
268435456,1.50,178.63,334.93
536870912,2.65,202.60,379.88
1073741824,5.01,214.44,402.07
2147483648,9.55,224.87,421.63
4294967296,18.69,229.83,430.94
8589934592,36.81,233.34,437.51
