msg_bytes,avg_ms,algbw_GBs,busbw_GBs
1048576,0.03,31.41,54.96
2097152,0.04,51.30,89.77
4194304,0.05,77.96,136.42
8388608,0.08,107.87,188.78
16777216,0.12,139.98,244.97
33554432,0.20,167.94,293.89
67108864,0.33,205.39,359.43
134217728,0.59,226.20,395.84
268435456,1.12,239.76,419.57
536870912,2.16,248.38,434.67
1073741824,4.07,263.97,461.95
2147483648,8.02,267.88,468.79
4294967296,15.89,270.28,473.00
8589934592,31.53,272.45,476.79
