msg_bytes,avg_ms,algbw_GBs,busbw_GBs
1048576,0.21,4.90,9.20
2097152,0.20,10.41,19.51
4194304,0.15,27.40,51.38
8388608,0.27,30.68,57.52
16777216,0.30,56.29,105.54
33554432,0.53,63.72,119.47
67108864,0.96,70.21,131.64
134217728,1.82,73.60,138.00
268435456,3.34,80.28,150.52
536870912,6.72,79.94,149.89
1073741824,12.81,83.80,157.12
2147483648,25.86,83.04,155.70
4294967296,50.34,85.32,159.97
8589934592,101.69,84.47,158.38
