msg_bytes,avg_ms,algbw_GBs,busbw_GBs
1048576,0.03,31.60,55.30
2097152,0.06,35.19,61.58
4194304,0.05,77.80,136.14
8388608,0.08,108.45,189.79
16777216,0.15,111.10,194.42
33554432,0.20,167.85,293.74
67108864,0.33,204.68,358.19
134217728,0.59,226.76,396.84
268435456,1.12,239.71,419.49
536870912,2.16,248.64,435.12
1073741824,4.07,263.98,461.97
2147483648,8.01,268.08,469.15
4294967296,15.87,270.56,473.47
8589934592,31.51,272.61,477.06
