msg_bytes,avg_ms,algbw_GBs,busbw_GBs
1048576,0.04,27.94,48.90
2097152,0.04,51.07,89.37
4194304,0.05,78.11,136.69
8388608,0.08,107.87,188.78
16777216,0.12,140.69,246.21
33554432,0.20,168.04,294.07
67108864,0.33,205.58,359.76
134217728,0.59,226.69,396.70
268435456,1.12,238.89,418.06
536870912,2.16,248.20,434.35
1073741824,4.07,263.90,461.83
2147483648,8.02,267.78,468.61
4294967296,15.87,270.66,473.66
8589934592,31.46,273.03,477.80
