msg_bytes,avg_ms,algbw_GBs,busbw_GBs
1048576,0.21,5.08,9.52
2097152,0.15,13.84,25.96
4194304,0.21,19.95,37.40
8388608,0.30,28.36,53.17
16777216,0.48,35.25,66.09
33554432,0.84,39.76,74.55
67108864,1.61,41.66,78.11
134217728,3.08,43.63,81.80
268435456,5.96,45.03,84.43
536870912,11.73,45.77,85.82
1073741824,23.26,46.17,86.57
2147483648,46.44,46.24,86.70
4294967296,92.13,46.62,87.41
8589934592,184.17,46.64,87.45
