msg_bytes,avg_ms,algbw_GBs,busbw_GBs
1048576,0.07,15.61,27.32
2097152,0.07,30.90,54.07
4194304,0.07,61.08,106.90
8388608,0.08,105.99,185.48
16777216,0.12,137.47,240.57
33554432,0.20,166.04,290.57
67108864,0.33,204.35,357.62
134217728,0.59,225.90,395.32
268435456,1.12,239.31,418.80
536870912,2.16,248.39,434.68
1073741824,4.07,263.94,461.90
2147483648,8.02,267.81,468.66
4294967296,15.86,270.77,473.85
8589934592,31.52,272.49,476.85
