msg_bytes,avg_ms,algbw_GBs,busbw_GBs
1048576,0.23,4.63,8.67
2097152,0.15,14.31,26.83
4194304,0.20,20.80,38.99
8388608,0.23,36.94,69.26
16777216,0.30,55.97,104.95
33554432,0.42,79.53,149.12
67108864,0.55,122.34,229.38
134217728,0.86,156.75,293.90
268435456,1.46,183.58,344.21
536870912,2.61,205.41,385.14
1073741824,4.92,218.40,409.49
2147483648,9.57,224.40,420.75
4294967296,18.64,230.38,431.97
8589934592,36.81,233.38,437.58
