msg_bytes,avg_ms,algbw_GBs,busbw_GBs
1048576,0.22,4.69,8.79
2097152,0.14,14.60,27.37
4194304,0.20,20.50,38.44
8388608,0.24,35.19,65.98
16777216,0.31,54.69,102.54
33554432,0.43,78.44,147.07
67108864,0.53,127.55,239.16
134217728,0.89,151.12,283.36
268435456,1.49,179.64,336.83
536870912,2.69,199.37,373.81
1073741824,5.09,210.84,395.32
2147483648,9.68,221.95,416.15
4294967296,18.65,230.34,431.89
8589934592,36.71,233.97,438.69
